cov_row,author,field,filled_value,provenance,xlsx_row_idx,xlsx_author,source_table,source_column,source_raw_value
0,Boris Khersonsky,gender,M,SOURCE_RESEARCH_WEB,40,Boris Khersonsky,web_research_2026-05,external_web_research,born: Chernivtsi (west_ukraine); long-time Odesa; Russian primary historically; Ukrainian publishing post-2014 → bilingual; PEN: PEN member; other locations: Rome | sources: https://en.wikipedia.org/wiki/Borys_Khersonskyi; https://pen.org.ua/en/members/hersonskyj-borys; https://lannan.georgetown.edu/boris-kershonsky/; https://www.thecafereview.com/summer-2024-poet-boris-khersonsky/
0,Boris Khersonsky,birth_year,1950,SOURCE_RESEARCH_WEB,40,Boris Khersonsky,web_research_2026-05,external_web_research,born: Chernivtsi (west_ukraine); long-time Odesa; Russian primary historically; Ukrainian publishing post-2014 → bilingual; PEN: PEN member; other locations: Rome | sources: https://en.wikipedia.org/wiki/Borys_Khersonskyi; https://pen.org.ua/en/members/hersonskyj-borys; https://lannan.georgetown.edu/boris-kershonsky/; https://www.thecafereview.com/summer-2024-poet-boris-khersonsky/
0,Boris Khersonsky,generation_cohort,pre_1970,SOURCE_RESEARCH_WEB,40,Boris Khersonsky,web_research_2026-05,external_web_research,born: Chernivtsi (west_ukraine); long-time Odesa; Russian primary historically; Ukrainian publishing post-2014 → bilingual; PEN: PEN member; other locations: Rome | sources: https://en.wikipedia.org/wiki/Borys_Khersonskyi; https://pen.org.ua/en/members/hersonskyj-borys; https://lannan.georgetown.edu/boris-kershonsky/; https://www.thecafereview.com/summer-2024-poet-boris-khersonsky/
0,Boris Khersonsky,region_of_birth,west_ukraine,SOURCE_RESEARCH_WEB,40,Boris Khersonsky,web_research_2026-05,external_web_research,born: Chernivtsi (west_ukraine); long-time Odesa; Russian primary historically; Ukrainian publishing post-2014 → bilingual; PEN: PEN member; other locations: Rome | sources: https://en.wikipedia.org/wiki/Borys_Khersonskyi; https://pen.org.ua/en/members/hersonskyj-borys; https://lannan.georgetown.edu/boris-kershonsky/; https://www.thecafereview.com/summer-2024-poet-boris-khersonsky/
0,Boris Khersonsky,region_jan2022,south_ukraine,SOURCE_RESEARCH_WEB,40,Boris Khersonsky,web_research_2026-05,external_web_research,born: Chernivtsi (west_ukraine); long-time Odesa; Russian primary historically; Ukrainian publishing post-2014 → bilingual; PEN: PEN member; other locations: Rome | sources: https://en.wikipedia.org/wiki/Borys_Khersonskyi; https://pen.org.ua/en/members/hersonskyj-borys; https://lannan.georgetown.edu/boris-kershonsky/; https://www.thecafereview.com/summer-2024-poet-boris-khersonsky/
0,Boris Khersonsky,region_at_archive_freeze,south_ukraine,SOURCE_RESEARCH_WEB,40,Boris Khersonsky,web_research_2026-05,external_web_research,born: Chernivtsi (west_ukraine); long-time Odesa; Russian primary historically; Ukrainian publishing post-2014 → bilingual; PEN: PEN member; other locations: Rome | sources: https://en.wikipedia.org/wiki/Borys_Khersonskyi; https://pen.org.ua/en/members/hersonskyj-borys; https://lannan.georgetown.edu/boris-kershonsky/; https://www.thecafereview.com/summer-2024-poet-boris-khersonsky/
0,Boris Khersonsky,language_xlsx_primary_at_freeze,bilingual,SOURCE_RESEARCH_WEB,40,Boris Khersonsky,web_research_2026-05,external_web_research,born: Chernivtsi (west_ukraine); long-time Odesa; Russian primary historically; Ukrainian publishing post-2014 → bilingual; PEN: PEN member; other locations: Rome | sources: https://en.wikipedia.org/wiki/Borys_Khersonskyi; https://pen.org.ua/en/members/hersonskyj-borys; https://lannan.georgetown.edu/boris-kershonsky/; https://www.thecafereview.com/summer-2024-poet-boris-khersonsky/
0,Boris Khersonsky,notes,born: Chernivtsi (west_ukraine); long-time Odesa; Russian primary historically; Ukrainian publishing post-2014 → bilingual; PEN: PEN member; other locations: Rome,SOURCE_RESEARCH_WEB,40,Boris Khersonsky,web_research_2026-05,external_web_research,born: Chernivtsi (west_ukraine); long-time Odesa; Russian primary historically; Ukrainian publishing post-2014 → bilingual; PEN: PEN member; other locations: Rome | sources: https://en.wikipedia.org/wiki/Borys_Khersonskyi; https://pen.org.ua/en/members/hersonskyj-borys; https://lannan.georgetown.edu/boris-kershonsky/; https://www.thecafereview.com/summer-2024-poet-boris-khersonsky/
0,Boris Khersonsky,language_corpus_p1,Russian,DIRECT_COPY,40,Boris Khersonsky,roster_v1_frozen.csv,dominant_language_p1,Russian
0,Boris Khersonsky,language_corpus_p2,Russian,DIRECT_COPY,40,Boris Khersonsky,roster_v1_frozen.csv,dominant_language_p2,Russian
0,Boris Khersonsky,bilingual_switcher_corpus,no,ROSTER_COPY,40,Boris Khersonsky,roster_v1_frozen.csv,is_bilingual_switcher,False
1,Ihor Mitrov,gender,M,SOURCE_RESEARCH_WEB,89,Ihor Mitrov,web_research_2026-05,external_web_research,born: Kerch (south_ukraine; Kerch/crimea taxonomy conflict noted); Jan 2022: Kyiv; current: Kyiv; 95th Air Assault Brigade since Mar 2022 | sources: https://www.versopolis.com/poet/610/ihor-mitrov; https://chytomo.com/en/ihor-mitrov-a-bohemian-poet-at-war-turns-into-an-ordinary-soldier/; https://pen.org.ua/en/ihor-mitrov-bohemnyj-poet-na-vijni-peretvoryuyetsya-u-zvychajnoho-soldata
1,Ihor Mitrov,region_of_birth,south_ukraine,SOURCE_RESEARCH_WEB,89,Ihor Mitrov,web_research_2026-05,external_web_research,born: Kerch (south_ukraine; Kerch/crimea taxonomy conflict noted); Jan 2022: Kyiv; current: Kyiv; 95th Air Assault Brigade since Mar 2022 | sources: https://www.versopolis.com/poet/610/ihor-mitrov; https://chytomo.com/en/ihor-mitrov-a-bohemian-poet-at-war-turns-into-an-ordinary-soldier/; https://pen.org.ua/en/ihor-mitrov-bohemnyj-poet-na-vijni-peretvoryuyetsya-u-zvychajnoho-soldata
